GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,DurationFormatUtils.Token,6,111,1,15,1,30,2,15,1,8
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.TwelveHourField,12,22,1,1,3,8,2,3,1,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,StopWatch.SplitState,0,24,0,0,0,3,0,1,0,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.TimeZoneDisplayKey,6,61,5,7,2,15,5,4,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter,50,690,13,89,10,168,12,74,2,23
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FormatCache,22,177,3,17,5,39,3,16,0,9
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,DateFormatUtils,6,149,0,0,1,38,1,17,1,17
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateParser.TimeZoneStrategy,12,191,1,23,1,35,1,14,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,DateUtils,66,1379,22,196,12,313,24,152,4,56
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.StringLiteral,0,16,0,0,0,6,0,3,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.CharacterLiteral,0,14,0,0,0,6,0,3,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.PaddedNumberField,5,93,2,10,1,23,2,8,0,4
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateFormat,34,230,0,2,6,38,6,32,6,31
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,DateUtils.DateIterator,0,44,0,2,0,11,0,5,0,4
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,19,0,2,0,7,0,3,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,8,0,0,0,3,0,2,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.UnpaddedMonthField,18,31,1,1,2,10,1,5,0,5
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,DurationFormatUtils,31,852,11,122,12,220,12,70,1,11
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,8,0,0,0,3,0,2,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,StopWatch,5,221,1,29,1,59,1,32,0,18
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateParser,43,662,9,70,9,143,11,61,2,21
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.TextField,0,43,0,4,0,12,0,5,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.TwoDigitMonthField,0,38,0,0,0,9,0,5,0,5
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,StopWatch.State,0,44,0,0,0,5,0,1,0,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FormatCache.MultipartKey,0,50,0,6,0,11,0,6,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateParser.Strategy,1,2,0,0,1,1,1,1,1,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.TwentyFourHourField,24,10,2,0,7,4,3,2,2,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.TwoDigitNumberField,0,44,0,2,0,12,0,5,0,4
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDateFormat.new FormatCache() {...},0,10,0,0,0,3,0,2,0,2
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNameRule,0,63,0,4,0,14,0,5,0,3
